approx_label,approx_frame,resolved_frame,period,ball_x,ball_y,ball_z,within_tolerance,model_outcome
Goal,166764,17841,1,-19.16181755065918,3.1748485565185547,4.1321210861206055,False,Blocked
Saved,150992,17841,1,-19.16181755065918,3.1748485565185547,4.1321210861206055,False,Blocked
Saved,124965,17841,1,-19.16181755065918,3.1748485565185547,4.1321210861206055,False,Blocked
Blocked,100658,17841,1,-19.16181755065918,3.1748485565185547,4.1321210861206055,False,Blocked
Blocked,47500,17841,1,-19.16181755065918,3.1748485565185547,4.1321210861206055,False,Blocked
Off Target,80500,17841,1,-19.16181755065918,3.1748485565185547,4.1321210861206055,False,Blocked
